first_name,last_name,email,phone,picture
Ermanno,Antonik,eantoniks@yellowbook.com,3242901002,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Rivkah,Mapham,rmaphamt@comsenz.com,7522399456,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Cornelius,Perrett,cperrettu@bloomberg.com,4792279229,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Reggy,Casserly,rcasserlyv@icq.com,5401265412,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Minnaminnie,Hansod,mhansodw@yellowbook.com,3364521099,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Josephina,Duckworth,jduckworthx@house.gov,7946025331,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Justinian,Goman,jgomany@xrea.com,5505605192,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Chad,Pafford,cpaffordz@cbslocal.com,5305238540,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Salli,Gribbins,sgribbins10@webs.com,1398872119,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Boy,Greenway,bgreenway11@bloglines.com,4084771569,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Dallas,Rizzelli,drizzelli12@bandcamp.com,6007969049,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Christiano,Feldhorn,cfeldhorn13@msu.edu,7439356421,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Eyde,Frensche,efrensche14@tripod.com,4402958288,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Olin,Longdon,olongdon15@ning.com,8118413687,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Julianne,Thebes,jthebes16@chron.com,5749496104,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Eden,Decent,edecent17@ucoz.ru,9615407921,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Harri,Petracchi,hpetracchi18@linkedin.com,2864120955,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Florence,Standrin,fstandrin19@webs.com,8031640301,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Ephrem,Zarfat,ezarfat1a@tamu.edu,1958776640,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Hedwiga,Barley,hbarley1b@xing.com,8238574210,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Bendix,Vaney,bvaney1c@earthlink.net,3691014418,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
Coral,De Ferrari,cdeferrari1d@ucsd.edu,8215750023,/Users/maxencemachu/Cours/scripting-photoshop/data/visit_card/sandra.jpeg
